Virus Family,Virus Genus,Virus Species,Detected 2008? (Y/N),Detected 2020 (Y),Recorded zoonosis event (Y/N),Does it cause disease in host (Y/N),Notes,Key reference,Ratified by ICTV
Adenoviridae,Atadenovirus ,Duck atadenovirus A  (Duck Adenovirus 1),Y,Y,N,Y,,Schloer_1980_AvianDiseases,Y
Adenoviridae,Atadenovirus ,Estrildidae adenovirus 1   ,N,Y,N,N,,Phalen_2019_AvPath,N
Adenoviridae,Atadenovirus ,"Psittacine atadenovirus A (Psittacine atadenovirus 3, Psittacine adenovirus HKU1 )",N,Y,N,N,,To_2014_PloS,Y
Adenoviridae,Atadenovirus ,Tropical screech owl adenovirus 1  ,N,Y,N,N,,de Olivera_2020_PLoS,N
Adenoviridae,Aviadenovirus,Aviadenovirus KLC-2015   ,N,Y,N,Y,,Couinhan_2015_Virol,N
Adenoviridae,Aviadenovirus,Duck aviadenovirus B (Duck adenovirus 2),Y,Y,N,Y,old virus but only recently sequenced?,Bouquet_1982_AvPAth; Marek_2014_Virology,Y
Adenoviridae,Aviadenovirus,"Falcon aviadenovirus A (Falconid adenovirus 1, Northern Aplomado falcon adenovirus, Orange breasted falcon adenovirus, teita falcon adenovrisu)",Y,Y,N,Y,,Schrenzel_2007_JVetDiag,Y
Adenoviridae,Aviadenovirus,Fowl adenovirus 12   ,Y,Y,N,Y,,Mittal_2014_VirusDis,N
Adenoviridae,Aviadenovirus,Fowl aviadenovirus A (Fowl adneovirus 1),Y,Y,N,Y,,Akopian_1990_NucAcidRes; Chiocca_1996_JVI,Y
Adenoviridae,Aviadenovirus,Fowl aviadenovirus B (Fowl adenovrisu 5),Y,Y,N,Y,old virus but only recently sequenced?,Marek_2013_VetMicro,Y
Adenoviridae,Aviadenovirus,"Fowl aviadenovirus C  (Fowl adenovirus 10, 4)",Y,Y,N,Y,old virus but only recently sequenced?,Griffin_2011_JGenVirol,Y
Adenoviridae,Aviadenovirus,"Fowl aviadenovirus D (Fowl adenovirsu 11, 2, 3, 9)",Y,Y,N,Y,,Ojkic_2002_Virology,Y
Adenoviridae,Aviadenovirus,"Fowl aviadenovirus E (Fowl adenovirus 6, 7, 8)",Y,Y,N,Y,,Ojkic_2000_JGenVirol,Y
Adenoviridae,Aviadenovirus,Goose aviadenovirus A (Goose adenovirus 4),Y,Y,N,Y,old virus but only recently sequenced?,Kajan_2012_JGENVirol,Y
Adenoviridae,Aviadenovirus,Gull Adenovirus,N,Y,N,Y,,Bodewes_2013_Virology,N
Adenoviridae,Aviadenovirus,Meyers Parrot Adneovirus,Y,Y,N,Y,,Wellehan_2005_JAvMed,N
Adenoviridae,Aviadenovirus,Neotropic cormorant aviadenovirus,N,Y,N,N,,Verdugo_2019_JWD,N
Adenoviridae,Aviadenovirus,Pacific black duck adenovirus ,N,Y,N,N,,Vibin_2018_SciRep,N
Adenoviridae,Aviadenovirus,Pigeon adenovirus 3,N,Y,N,Y,,Ballman_2016_ActaVetHung,N
Adenoviridae,Aviadenovirus,Pigeon adenovirus 4,N,Y,N,Y,,Ballman_2016_ActaVetHung,N
Adenoviridae,Aviadenovirus,Pigeon adenovirus 5,N,Y,N,Y,,Ballman_2016_ActaVetHung,N
Adenoviridae,Aviadenovirus,Pigeon aviadenovirus A   (Pigeon adnovrisu 1),Y,Y,N,Y,old virus but only recently sequenced?,Hess_1998_AvPAth; Marek_2014_Virology,Y
