Virus Family,Virus Genus,Virus Species,Host,Detected 2008? (Y/N),Detected 2020 (Y),Recorded zoonosis event (Y/N),Does it cause disease in host (Y/N),Ratified by ICTV,Notes,Refs?
Alloherpesviridae,Cyprinivirus,Anguillid herpesvirus 1 (Eel herpesvirus ),Fish,N,Y,N,Y,Y,,van Beurden_2010_JGenVirol
Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 1  (Carp pox herpesvirus),Fish,Y,Y,N,Y,Y,described since the middle ages!,Davison_2013_JVI
Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 2  (Goldfish haemotopoietic necrosis herpesvirus),Fish,Y,Y,N,Y,Y,,Davison_2013_JVI
Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 3 (Koi herpesvirus),Fish,Y,Y,N,Y,Y,,Davison_2013_JVI
Alloherpesviridae,Ictalurivirus,Acipenserid herpesvirus 2 (White sturgeon herpesvirus 2),Fish,N,Y,N,Y,Y,,Doszpoly_2011_ArchVirol
Alloherpesviridae,Ictalurivirus,Ictalurid herpesvirus 1 (Channel catfish virus),Fish,Y,Y,N,Y,Y,,Davison_1992_JVI
Alloherpesviridae,Ictalurivirus,Ictalurid herpesvirus 2 (Black bullhead herpesvirus),Fish,Y,Y,N,Y,Y,,Borzak_2018_ArchVirol
Alloherpesviridae,Salmonivirus,Salmonid herpesvirus 1 ((Herpesvirus salmonis),Fish,Y,Y,N,Y,Y,,Davison_1998_JVI
Alloherpesviridae,Salmonivirus,Salmonid herpesvirus 2 (Oncorhynchus masou herpesvirus),Fish,Y,Y,N,Y,Y,,Waltzek_2009_Disaquat
Alloherpesviridae,Salmonivirus,Salmonid herpesvirus 3 ((Epizootic epitheliotropic disease virus),Fish,Y,Y,N,Y,Y,,Waltzek_2009_Disaquat
Alloherpesviridae,Unassigned,Clupeid herpesvirus 1 (Pilchard herpesvirus),Fish,Y,Y,N,Y,N,,Crockford_2005_DisAqua
Alloherpesviridae,Unassigned,Esocid herpesvirus 1 (Northern pike herpesvirus),Fish,N,Y,N,Y,N,,Freitas_2016_DisAqua
Alloherpesviridae,Unassigned,Percid herpesvirus 2 (Walleye epidermal hyperplasia herpesvirus),Fish,N,Y,N,Y,N,,Garver_2018_DisAqua
Arenaviridae,Unassigned,Conseil virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Arenaviridae,Unassigned,Moby virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Arenaviridae,Unassigned,Wenling frogfish arenavirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Arenaviridae,Unassigned,Wenling frogfish arenavirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Arteriviridae,Unassigned,Nanhai ghost shark arterivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Arteriviridae,Unassigned,Wuhan japanese halfbeak arterivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Beihai cephalopholis spiloparaea astrovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Beihai fish astrovirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Beihai mudskipper astro-like virus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Dongbei arctic lamprey astrovirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Dongbei arctic lamprey astrovirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Dongbei arctic lamprey astrovirus 3,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Dongbei arctic lamprey astrovirus 4,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Dongtou red stingray astrovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Eastern red scorpionfish astrovirus,Fish,N,Y,N,N,N,,Geoghan_2018_VirusEvol
Astroviridae,Unassigned,Eastern sea garfish astrovirus,Fish,N,Y,N,N,N,,Geoghan_2018_VirusEvol
