Virus Family,Virus Genus,Virus Species,Detected 2008? (Y/N),Detected 2020 (Y),Recorded zoonosis event (Y/N),Does it cause disease in host (Y/N),Notes,Key reference,Ratified by ICTV
Orthomyxoviridae,Quaranjavirus,Wuhan Louse Fly Virus 4,N,Y,N,N,,"Li, 2015_eLIFE",N
Orthomyxoviridae,Quaranjavirus,Wellfleet Bay Virus,N,Y,N,Y,,Allison_2014_JVI,N
Orthomyxoviridae,Quaranjavirus,Johnston Atoll quarajavirus,Y,Y,N,N,"old virus, only recently classified as orthomyxo?",Austin_1978_AmJTropMed; Humphrey_smith_1991_EpidInfec_Presti_2009_Jvirol,Y
Orthomyxoviridae,Unassigned,Tilapia Lake Virus,N,Y,N,Y,,Bacharach_2016_mBio,N
Orthomyxoviridae,Unassigned,Rainbow trout orthomyxovirus 1 & Steelhead trout orthomyxovirus,N,Y,N,N,,Batts_2017_Virus Res,N
Orthomyxoviridae,Thogotovirus,Rondonia thogotovirus   ,N,Y,N,N,,Blomstrom_2019_Viruses,N
Orthomyxoviridae,Thogotovirus,Aransas Bay virus   ,N,Y,N,N,"old virus, only recently classified as orthomyxo?",Briese_2014_JVI,N
Orthomyxoviridae,Thogotovirus,Upolu virus   ,N,Y,N,N,"old virus, only recently classified as orthomyxo?",Briese_2014_JVI,N
Orthomyxoviridae,Quaranjavirus,Zambezi tick virus 1   ,N,Y,N,N,,Cholleti_2018_InfectEpid,N
Orthomyxoviridae,Unassigned,Sinu Virus,N,Y,N,N,,Contreras_2017_Virology,N
Orthomyxoviridae,Thogotovirus,Araguari virus,Y,Y,Y,Y,"old virus, only recently classified as orthomyxo?",Dasilva_2005_JTropMed; Zeller_1989_ARchVirol,N
Orthomyxoviridae,Thogotovirus,Oz virus  ,N,Y,N,N,,Ejiri_2018_VirusRes,N
Orthomyxoviridae,Unassigned,Photinus pyralis orthomyxo-like virus 1,N,Y,N,N,,Fallon_2018_eLIFE,N
Orthomyxoviridae,Unassigned,Photinus pyralis orthomyxo-like virus 2,N,Y,N,N,,Fallon_2018_eLIFE,N
Orthomyxoviridae,Unassigned,Whidbey Virus,N,Y,N,N,,GenBank [ KX898491],N
Orthomyxoviridae,Unassigned,Old Quarry Swamp Virus,N,Y,N,N,,Harvey_2019_JVI,N
Orthomyxoviridae,Unassigned,Lestrade virus,N,Y,N,N,,Harvey_2019_Virology,N
