Virus Family,Virus Genus,Virus Species,Detected 2008? (Y/N),Detected 2020 (Y),Recorded zoonosis event (Y/N),Does it cause disease in host (Y/N),Notes,Key reference,Ratified by ICTV
Arenaviridae,Mammarenavirus,Wenzhou virus,N,Y,Y,N,,Li_2015_Virology; Blasdell_2016_eLIFE,Y
Arteriviridae,Muarterivirus,Olivier's shrew virus 1 (Muarterivirus afrigant),N,Y,N,N,,Vanmechelen_2018_SciRep,Y
Bornaviridae,Orthobornavirus,Borna disease virus 1  (Mammalian 1 orthobornavirus),Y,Y,Y,N,,Hilbe_2006_EID,Y
Bunyaviridae,Nairoviridae,"Thiafora orthonairovirus (Thiafora Virus, Erve Virus)",N,Y,Y,N,,walker_2015_AmJTropMed,Y
Coronaviridae,Alphacoronavirus,W_nch_ng shrew virus,N,Y,N,N,,Wang_2017_JVI,N
Coronaviridae,Alphacoronavirus,Alphacoronavirus UKSa1,N,Y,N,N,,Tsoleridis_2016_Viruses,N
Cycloviridae,Cyclovirus,"Human associated Cyclovirus 8 (ZM01, ZM36a, ZM38, ZM41, ZM50a, ZM54, ZM62)",N,Y,Y,N,,Sasaki_2014_JGenVirol,Y
Flaviviridae,Flavivirus,Tick borne encephalitis virus,Y,Y,Y,N,"arbovirus, ticks, first found in shrews in 2001",Michelitsch_2019_Viruses,Y
Flaviviridae,Flavivirus,Kyasanur Forest disease virus,Y,Y,Y,N,,Pattnaik_2006_RevMedVirol,Y
Hantaviridae,Orthohantavirus,"Cao Bang orthohantavirus (also Li_ngh_ virus, Xinyi Virus)",Y,Y,N,N,,Zhang_2014; Song_2007,Y
Hantaviridae,Orthohantavirus,Jeju virus (Jeju orthohantavirus),N,Y,N,N,,Zhang_2014; Arai_2012_virol,Y
Hantaviridae,Orthohantavirus,Seewis virus (Altai Virus),Y,Y,N,N,,Zhang_2014; Song_2007,Y
Hantaviridae,Orthohantavirus,Puumala Hantavirus,N,Y,Y,N,,Borg_2017_InfEpi,Y
Hantaviridae,Orthohantavirus,Kenkeme virus,N,Y,N,N,,Zhang_2014; Kang_2010_Vector,Y
Hantaviridae,Orthohantavirus,Yakeshi virus,N,Y,N,N,,Zhang_2014; Guo_2013_PLoS,Y
Hantaviridae,Orthohantavirus,Asikkala orthohantavirus ,N,Y,N,N,,Zhang_2014; Rodosa_2013_InfGen,Y
Hantaviridae,Orthohantavirus,Bowe virus,N,Y,Y,N,,Zhang_2014; Gu_2012_InfGen; Heinemann,Y
Hantaviridae,Orthohantavirus,Boginia virus,N,Y,Y,N,,Zhang_2014; Gu_2013_VirologyJ,N
Hantaviridae,Orthohantavirus,Iamonia virus,Y,Y,N,N,,Rueskin_2013; Arai_2007,N
Hantaviridae,Thottimvirus,Imjin virus (Imjin thottimvirus),N,Y,Y,N,,Song_2009_JVI; Qi_2019_Viruses,Y
Hantaviridae,Thottimvirus,Thottopalayam thottimvirus,Y,Y,Y,N,"Old, only recently realised to be a Hantavirus",Zhang_2014; Song_2007_EID; Okumura_2007,Y
Hantaviridae,Unassigned,Tanganya virus,Y,Y,N,N,,Zhang_2014; Klempa_2007_EID,N
Hantaviridae,Unassigned,Ulguru Virus,N,Y,Y,N,,Zhang_2014; Kang_2014_JVI; Heinemann,N
Hantaviridae,Unassigned,Kilimanjaro Virus ,N,Y,N,N,,Zhang_2014; Kang_2014_JVI,N
Hantaviridae,Unassigned,Camp Ripley virus ,Y,Y,N,N,,Zhang_2014; Arai_2007_EID,N
Hantaviridae,Unassigned,Ash River virus,Y,Y,N,N,,Zhang_2014; Arai_2008_AmJTropMed,N
Hantaviridae,Unassigned,"Jemez Springs virus (Fox Creek Virus, Tualatin River Virus, Powel Butte Virus)",Y,Y,N,N,,Zhang_2014; Arai_2008_AmJTropMed; Rueskin_2013; Milholland_2018,N
Hantaviridae,Unassigned,Qian Hu Shan virus (Qiandao Lake virus),N,Y,N,N,,Zhou_2014_VirusRes,N
Hantaviridae,Unassigned,Azagny virus,N,Y,N,N,,Zhang_2014; Kang_2011_VirolJ,N
Hantaviridae,Unassigned,Altai Virus,N,Y,N,N,"Only a sequence for years, publication much later",Kang_2019_Viruses; EU424341,N
Hantaviridae,Unassigned,Lena River Virus,N,Y,N,N,,Yashina_2019_VirusRes,N
Hantaviridae,Unassigned,Artybash Virus (Amga Virus),N,Y,N,N,,Arai_2016_Vector,N
Hantaviridae,Unassigned,Sarufutsu Virus,N,Y,N,N,,KF700097; Milholland_2018,N
Hepadanviridae,Orthohepadnavirus,Shrew Hepatitis B Virus,N,Y,N,N,,Nie_2019_Virology,N
Hepeviridae,Unassigned,Shrew Hepevirus,N,Y,N,N,,Onyouk_2019_Frontiers,N
Hepeviridae,Unassigned,Rat Hepatitis E,N,Y,Y,N,,Guan_2013_EID,Y
Paramyxoviridae,Henipavirus,ShrewPV/Cro hir/LivR11-22/ZAM/2011 [Henipavirus],N,Y,N,N,,Sasaki_2014_JGenVirol_b,N
Paramyxoviridae,Morbillivirus,ShrewPV/Cro sp./LR11-126/ZAM/2011 [Morbillivirus],N,Y,N,N,,Sasaki_2014_JGenVirol_b,N
Parvovirinae,Protoparvovirus,Eulipotyphla protoparvovirus 1 ( Mpulungu BuV ),N,Y,N,N,,Saskaki_2015_EID,Y
Phenuiviridae,Banyangvirus,Severe fever with thrombocytopenia syndrome Virus (Huaiyangshan Virus),N,Y,Y,N,,Liu_2014_EID,Y
Picornaviridae,Hepatovirus,Shrew Hepatovirus (Hepatovirus 1),N,Y,N,N,,Drexler_2015_PNAS,Y
Picornaviridae;,Crohivirus,Crohivirus A (shrew crohivirus),N,Y,N,N,,Sasaki_2014_JGenVirol,Y
Poxviridae,Orthopoxvirus,Cowpox virus,Y,Y,Y,N,,Tryland_1998_JWildDis,Y
Reoviridae,Orthoreovirus,Shrew Orthoreovirus,N,Y,N,N,,Harima_2019_JVetMedSci,N
Reoviridae,Rotavirus,Rotavirus A-like,N,Y,N,N,,Johne_2019_EID,N
Reoviridae,Rotavirus,Rotavirus C-like,N,Y,N,N,,Johne_2019_EID,N
Reoviridae,Rotavirus,Rotavirus H-like,N,Y,N,N,,Johne_2019_EID,N
Reoviridae,Rotavirus,Rotavirus A,N,Y,Y,N,,Li_2016_virology,Y
Rhabdoviridae,Ledantevirus,Barur Virus,N,Y,N,N,fleas collected from white-toothed shrew,Walker_2015_PLoS,Y
Rhabdoviridae,Lyssavirus,Mokola lyssavirus,Y,Y,Y,N,,Kemp_1973_ArchVirol; Sabeta_2010_FEMS,Y
Rhabdoviridae,Unassigned,Kwatta Virus,N,Y,Y,N,,Walker_2015_PLoS,N
